Gender,Perspective,Age_1,Age_2,Pair_ID,Spare
0,1,0,0,381,0
1,1,0,0,382,0
1,1,0,1,382,1
1,1,0,0,383,0
1,1,1,0,383,1
1,1,1,0,384,1
0,1,1,0,384,0
1,1,0,1,385,0
1,1,1,0,385,1
0,1,0,0,386,1
0,1,1,0,386,0
1,1,0,1,387,0
0,1,0,1,387,1
0,1,0,0,388,0
0,1,0,1,388,1
1,1,0,0,389,1
0,1,0,0,389,0
0,1,1,0,390,0
0,1,0,1,390,1
0,1,1,0,391,0
1,1,1,0,391,1
1,1,1,0,392,1
1,1,0,0,392,0
1,1,0,1,393,1
1,1,0,0,393,0
0,1,0,0,394,0
0,1,0,1,394,1
1,1,0,0,395,0
1,1,0,1,395,1
1,1,0,1,396,1
0,1,0,1,396,0
0,1,0,1,397,1
0,1,1,0,397,0
1,1,1,0,398,1
0,1,1,0,398,0
1,1,0,0,399,0
1,1,1,0,399,1
0,1,0,0,400,0
0,1,1,0,400,1
1,1,0,1,401,1
1,1,1,0,401,0
1,1,0,1,402,1
1,1,0,0,402,0
0,1,0,0,403,0
0,1,0,1,403,1
1,1,1,0,404,1
0,1,1,0,404,0
1,1,0,1,405,1
0,1,0,1,405,0
1,1,0,0,406,0
1,1,1,0,406,1
1,1,0,1,407,0
1,1,1,0,407,1
0,1,0,0,408,0
1,1,0,0,408,1
0,1,0,1,409,1
0,1,1,0,409,0
0,1,1,0,410,0
0,1,0,1,410,1
1,1,0,0,411,1
0,1,0,0,411,0
0,1,1,0,412,1
0,1,0,0,412,0
0,1,0,0,413,0
0,1,0,1,413,1
1,1,0,1,414,1
0,1,0,1,414,0
1,1,0,1,415,1
1,1,1,0,415,0
0,1,1,0,416,0
1,1,1,0,416,1
1,1,0,1,417,1
1,1,0,0,417,0
1,1,0,1,418,1
1,1,0,0,418,0
1,1,1,0,419,0
1,1,0,1,419,1
0,1,0,0,420,1
1,1,0,0,420,0
0,1,1,0,421,1
0,1,0,0,421,0
1,1,0,0,422,1
1,1,1,0,422,0
1,1,0,1,423,1
0,1,0,1,423,0
0,1,0,1,424,1
0,1,1,0,424,0
1,1,0,1,425,1
0,1,0,1,425,0
1,1,1,0,426,1
0,1,1,0,426,0
1,1,1,0,427,0
